Property,Model Name,Predicted Value,Unit
Absorption,Water solubility,-3.136,Numeric (log mol/L)
Absorption,Caco2 permeability,1.421,Numeric (log Papp in 10-6 cm/s)
Absorption,Intestinal absorption (human),90.998,Numeric (% Absorbed)
Absorption,Skin Permeability,-2.735,Numeric (log Kp)
Absorption,P-glycoprotein substrate,Yes,Categorical (Yes/No)
Absorption,P-glycoprotein I inhibitor,Yes,Categorical (Yes/No)
Absorption,P-glycoprotein II inhibitor,Yes,Categorical (Yes/No)
Distribution,VDss (human),0.499,Numeric (log L/kg)
Distribution,Fraction unbound (human),0.23,Numeric (Fu)
Distribution,BBB permeability,-1.553,Numeric (log BB)
Distribution,CNS permeability,-2.647,Numeric (log PS)
Metabolism,CYP2D6 substrate,No,Categorical (Yes/No)
Metabolism,CYP3A4 substrate,Yes,Categorical (Yes/No)
Metabolism,CYP1A2 inhibitior,No,Categorical (Yes/No)
Metabolism,CYP2C19 inhibitior,Yes,Categorical (Yes/No)
Metabolism,CYP2C9 inhibitior,Yes,Categorical (Yes/No)
Metabolism,CYP2D6 inhibitior,No,Categorical (Yes/No)
Metabolism,CYP3A4 inhibitior,Yes,Categorical (Yes/No)
Excretion,Total Clearance,0.121,Numeric (log ml/min/kg)
Excretion,Renal OCT2 substrate,Yes,Categorical (Yes/No)
Toxicity,AMES toxicity,Yes,Categorical (Yes/No)
Toxicity,Max. tolerated dose (human),0.56,Numeric (log mg/kg/day)
Toxicity,hERG I inhibitor,No,Categorical (Yes/No)
Toxicity,hERG II inhibitor,Yes,Categorical (Yes/No)
Toxicity,Oral Rat Acute Toxicity (LD50),2.521,Numeric (mol/kg)
Toxicity,Oral Rat Chronic Toxicity (LOAEL),0.771,Numeric (log mg/kg_bw/day)
Toxicity,Hepatotoxicity,No,Categorical (Yes/No)
Toxicity,Skin Sensitisation,No,Categorical (Yes/No)
Toxicity,T.Pyriformis toxicity,0.285,Numeric (log ug/L)
Toxicity,Minnow toxicity,1.078,Numeric (log mM)
